"","sex","age","education_level","institution_type","it_student","location","load_shedding","financial_condition","internet_type","network_type","class_duration","self_lms","device","adaptivity_level","outcome","sex_indicator","financial"
"74","Girl","11-15","School","Non Government","No","Yes","Low","Poor","Mobile Data","3G","1-3","No","Mobile","Low","1",0,"1"
"75","Boy","11-15","School","Non Government","Yes","Yes","Low","Mid","Mobile Data","4G","1-3","No","Mobile","Moderate","2",1,"2"
"76","Girl","6-10","School","Non Government","No","Yes","Low","Mid","Mobile Data","2G","1-3","No","Mobile","Low","1",0,"2"
"77","Girl","16-20","College","Non Government","No","Yes","Low","Mid","Mobile Data","3G","1-3","Yes","Mobile","Moderate","2",0,"2"
"78","Girl","21-25","College","Government","No","No","High","Mid","Mobile Data","4G","0","No","Mobile","Low","1",0,"2"
"79","Girl","11-15","School","Non Government","No","Yes","Low","Mid","Mobile Data","4G","3-6","No","Mobile","Moderate","2",0,"2"
"80","Boy","11-15","School","Non Government","No","Yes","Low","Mid","Mobile Data","4G","1-3","No","Mobile","Moderate","2",1,"2"
"81","Boy","11-15","School","Non Government","No","Yes","Low","Poor","Mobile Data","3G","1-3","No","Mobile","Low","1",1,"1"
"82","Girl","11-15","School","Non Government","No","Yes","Low","Mid","Mobile Data","4G","3-6","No","Mobile","Moderate","2",0,"2"
"83","Boy","21-25","University","Non Government","Yes","Yes","Low","Mid","Wifi","4G","1-3","No","Computer","Moderate","2",1,"2"
"84","Girl","11-15","School","Government","No","No","Low","Mid","Mobile Data","3G","0","No","Mobile","Low","1",0,"2"
"85","Girl","1-5","School","Non Government","No","Yes","Low","Poor","Mobile Data","4G","1-3","No","Mobile","Moderate","2",0,"1"
"86","Boy","11-15","School","Non Government","No","Yes","Low","Mid","Mobile Data","3G","1-3","No","Mobile","Moderate","2",1,"2"
"87","Boy","11-15","School","Non Government","No","Yes","Low","Mid","Mobile Data","4G","1-3","No","Mobile","High","3",1,"2"
"88","Girl","21-25","University","Non Government","Yes","Yes","Low","Mid","Wifi","4G","1-3","Yes","Mobile","Moderate","2",0,"2"
"89","Boy","11-15","School","Non Government","No","Yes","High","Mid","Wifi","4G","1-3","No","Mobile","Moderate","2",1,"2"
"90","Boy","26-30","University","Government","No","No","Low","Poor","Mobile Data","4G","0","No","Mobile","Low","1",1,"1"
"91","Boy","21-25","University","Non Government","No","No","Low","Mid","Mobile Data","4G","1-3","No","Mobile","Moderate","2",1,"2"
"92","Boy","21-25","University","Non Government","Yes","Yes","Low","Mid","Wifi","4G","3-6","Yes","Computer","Moderate","2",1,"2"
"93","Boy","21-25","University","Non Government","Yes","Yes","Low","Mid","Wifi","3G","3-6","Yes","Computer","Moderate","2",1,"2"
"94","Boy","21-25","University","Non Government","Yes","Yes","High","Poor","Mobile Data","3G","1-3","Yes","Mobile","Low","1",1,"1"
"95","Girl","1-5","School","Non Government","No","Yes","Low","Poor","Mobile Data","4G","1-3","No","Mobile","Moderate","2",0,"1"
"96","Girl","16-20","University","Non Government","Yes","Yes","Low","Mid","Wifi","4G","1-3","No","Computer","Moderate","2",0,"2"
"97","Boy","11-15","School","Non Government","No","Yes","Low","Mid","Mobile Data","4G","1-3","No","Mobile","Moderate","2",1,"2"
"98","Girl","11-15","School","Government","No","No","High","Poor","Mobile Data","2G","1-3","No","Mobile","Low","1",0,"1"
"99","Boy","21-25","University","Non Government","Yes","Yes","Low","Mid","Wifi","4G","1-3","Yes","Mobile","Moderate","2",1,"2"
"100","Boy","16-20","College","Government","No","Yes","Low","Mid","Wifi","4G","1-3","No","Mobile","Low","1",1,"2"
"101","Boy","11-15","School","Non Government","No","Yes","Low","Mid","Wifi","4G","0","No","Mobile","Low","1",1,"2"
"102","Girl","11-15","School","Non Government","No","Yes","Low","Mid","Wifi","4G","1-3","No","Computer","Moderate","2",0,"2"
"103","Girl","16-20","College","Non Government","No","No","High","Mid","Mobile Data","3G","0","No","Mobile","Low","1",0,"2"
"104","Boy","11-15","School","Non Government","Yes","Yes","Low","Mid","Mobile Data","4G","1-3","No","Mobile","Moderate","2",1,"2"
"105","Girl","1-5","School","Non Government","No","Yes","Low","Poor","Wifi","4G","1-3","No","Mobile","Moderate","2",0,"1"
"106","Boy","11-15","School","Government","No","Yes","Low","Mid","Wifi","4G","1-3","No","Computer","Moderate","2",1,"2"
"107","Girl","11-15","School","Non Government","No","Yes","Low","Mid","Mobile Data","3G","1-3","No","Mobile","Moderate","2",0,"2"
"108","Girl","11-15","School","Non Government","No","Yes","Low","Mid","Wifi","4G","1-3","No","Computer","Moderate","2",0,"2"
"109","Boy","21-25","University","Non Government","No","Yes","Low","Mid","Wifi","4G","3-6","No","Tab","Moderate","2",1,"2"
"110","Girl","21-25","University","Non Government","No","Yes","Low","Mid","Wifi","3G","1-3","Yes","Mobile","High","3",0,"2"
"111","Boy","6-10","School","Government","No","Yes","Low","Mid","Mobile Data","4G","0","No","Mobile","Low","1",1,"2"
"112","Girl","16-20","College","Non Government","No","Yes","Low","Mid","Wifi","4G","1-3","No","Mobile","Low","1",0,"2"
"113","Boy","11-15","School","Government","No","No","Low","Mid","Mobile Data","3G","0","No","Mobile","Low","1",1,"2"
"114","Boy","21-25","University","Non Government","Yes","Yes","High","Poor","Mobile Data","3G","1-3","Yes","Mobile","Moderate","2",1,"1"
"115","Girl","16-20","College","Non Government","No","Yes","Low","Mid","Wifi","4G","3-6","No","Mobile","Moderate","2",0,"2"
"116","Boy","21-25","University","Non Government","No","Yes","Low","Mid","Wifi","4G","3-6","Yes","Computer","Moderate","2",1,"2"
"117","Boy","26-30","University","Government","Yes","Yes","Low","Mid","Wifi","4G","0","No","Computer","Low","1",1,"2"
"118","Boy","21-25","University","Non Government","Yes","Yes","High","Mid","Wifi","4G","3-6","Yes","Computer","Low","1",1,"2"
"119","Boy","16-20","College","Government","No","No","High","Poor","Mobile Data","3G","1-3","No","Mobile","Moderate","2",1,"1"
"120","Girl","21-25","University","Non Government","Yes","No","Low","Mid","Mobile Data","3G","1-3","Yes","Mobile","Moderate","2",0,"2"
"121","Girl","16-20","College","Non Government","No","Yes","High","Mid","Wifi","4G","3-6","No","Computer","Moderate","2",0,"2"
"122","Girl","16-20","School","Non Government","No","Yes","Low","Mid","Wifi","4G","1-3","No","Mobile","Low","1",0,"2"
"123","Boy","11-15","School","Non Government","No","Yes","Low","Mid","Mobile Data","4G","1-3","No","Mobile","Moderate","2",1,"2"
"124","Boy","11-15","School","Non Government","No","Yes","Low","Mid","Mobile Data","3G","1-3","No","Mobile","Moderate","2",1,"2"
"125","Girl","16-20","University","Non Government","Yes","Yes","Low","Mid","Wifi","4G","1-3","Yes","Computer","Moderate","2",0,"2"
"126","Girl","11-15","School","Non Government","No","Yes","Low","Poor","Mobile Data","3G","1-3","No","Mobile","Low","1",0,"1"
"127","Girl","21-25","University","Government","No","Yes","Low","Mid","Mobile Data","4G","1-3","No","Mobile","Low","1",0,"2"
"128","Boy","16-20","College","Government","No","Yes","Low","Mid","Wifi","4G","3-6","No","Mobile","Moderate","2",1,"2"
"129","Girl","11-15","School","Government","No","Yes","Low","Mid","Wifi","4G","1-3","No","Mobile","Low","1",0,"2"
"130","Boy","21-25","University","Non Government","Yes","Yes","Low","Rich","Wifi","4G","1-3","Yes","Computer","High","3",1,"3"
"131","Girl","21-25","University","Non Government","Yes","Yes","Low","Mid","Wifi","3G","3-6","Yes","Mobile","Moderate","2",0,"2"
"132","Boy","21-25","University","Government","Yes","No","High","Mid","Mobile Data","3G","1-3","No","Mobile","Low","1",1,"2"
"133","Boy","21-25","University","Non Government","Yes","No","High","Mid","Mobile Data","3G","3-6","Yes","Mobile","High","3",1,"2"
"134","Boy","16-20","College","Government","No","Yes","Low","Poor","Mobile Data","4G","1-3","No","Mobile","Low","1",1,"1"
"135","Boy","21-25","University","Non Government","Yes","Yes","High","Mid","Mobile Data","3G","3-6","Yes","Mobile","Moderate","2",1,"2"
"136","Boy","21-25","University","Government","Yes","Yes","Low","Mid","Wifi","4G","3-6","No","Computer","Low","1",1,"2"
"137","Girl","16-20","School","Non Government","No","Yes","Low","Poor","Mobile Data","3G","0","No","Mobile","Low","1",0,"1"
"138","Girl","21-25","University","Non Government","No","Yes","Low","Mid","Mobile Data","4G","1-3","No","Mobile","Moderate","2",0,"2"
"139","Girl","1-5","School","Non Government","No","Yes","Low","Poor","Mobile Data","4G","1-3","No","Mobile","Moderate","2",0,"1"
"140","Girl","11-15","School","Non Government","No","Yes","Low","Mid","Mobile Data","4G","1-3","No","Mobile","Moderate","2",0,"2"
"141","Girl","11-15","School","Non Government","No","Yes","Low","Poor","Mobile Data","3G","1-3","No","Mobile","Low","1",0,"1"
"142","Boy","21-25","University","Non Government","Yes","Yes","High","Mid","Mobile Data","3G","3-6","Yes","Mobile","Moderate","2",1,"2"
"143","Girl","11-15","School","Non Government","Yes","Yes","Low","Mid","Mobile Data","3G","1-3","No","Mobile","Moderate","2",0,"2"
"144","Girl","16-20","College","Non Government","No","No","Low","Mid","Mobile Data","3G","1-3","No","Mobile","Moderate","2",0,"2"
"145","Boy","21-25","University","Government","No","No","Low","Poor","Mobile Data","3G","1-3","No","Mobile","Low","1",1,"1"
"146","Boy","21-25","University","Non Government","No","Yes","Low","Mid","Wifi","4G","3-6","No","Computer","Moderate","2",1,"2"
"147","Boy","21-25","University","Non Government","Yes","Yes","High","Poor","Wifi","3G","3-6","No","Computer","Moderate","2",1,"1"
"148","Boy","11-15","School","Non Government","No","Yes","Low","Mid","Wifi","4G","0","No","Mobile","Low","1",1,"2"
"149","Girl","21-25","University","Non Government","No","Yes","High","Poor","Wifi","4G","3-6","No","Mobile","Low","1",0,"1"
"150","Girl","21-25","University","Government","No","No","Low","Mid","Mobile Data","2G","1-3","No","Mobile","Low","1",0,"2"
"151","Girl","1-5","School","Non Government","No","Yes","Low","Poor","Mobile Data","4G","1-3","No","Mobile","Moderate","2",0,"1"
"152","Boy","16-20","College","Government","No","No","Low","Mid","Wifi","4G","1-3","No","Mobile","Low","1",1,"2"
"153","Boy","11-15","School","Non Government","No","Yes","Low","Rich","Mobile Data","4G","1-3","No","Mobile","High","3",1,"3"
"154","Boy","6-10","School","Non Government","No","Yes","Low","Rich","Wifi","4G","1-3","No","Mobile","Moderate","2",1,"3"
"155","Boy","21-25","University","Non Government","Yes","Yes","Low","Mid","Wifi","4G","3-6","No","Computer","Low","1",1,"2"
"156","Boy","21-25","University","Government","Yes","Yes","Low","Mid","Mobile Data","3G","1-3","No","Computer","Low","1",1,"2"
"157","Boy","1-5","School","Non Government","No","Yes","Low","Poor","Mobile Data","4G","1-3","No","Mobile","Low","1",1,"1"
"158","Boy","26-30","University","Government","Yes","Yes","Low","Rich","Wifi","4G","1-3","No","Computer","High","3",1,"3"
"159","Girl","1-5","School","Non Government","No","Yes","Low","Mid","Mobile Data","4G","1-3","No","Mobile","Moderate","2",0,"2"
"160","Boy","21-25","University","Non Government","Yes","Yes","High","Mid","Mobile Data","3G","1-3","Yes","Computer","Moderate","2",1,"2"
"161","Boy","21-25","University","Non Government","Yes","Yes","Low","Mid","Wifi","3G","1-3","Yes","Mobile","Low","1",1,"2"
"162","Boy","21-25","University","Non Government","Yes","No","High","Mid","Mobile Data","3G","3-6","Yes","Mobile","High","3",1,"2"
"163","Boy","16-20","University","Government","No","No","Low","Poor","Mobile Data","4G","1-3","No","Mobile","Moderate","2",1,"1"
"164","Boy","6-10","School","Government","No","No","Low","Mid","Mobile Data","3G","0","No","Mobile","Low","1",1,"2"
"165","Girl","16-20","College","Government","No","No","High","Poor","Mobile Data","4G","0","No","Mobile","Low","1",0,"1"
"166","Girl","11-15","School","Non Government","No","Yes","Low","Mid","Mobile Data","4G","1-3","No","Mobile","Moderate","2",0,"2"
"167","Boy","21-25","College","Government","No","No","High","Poor","Mobile Data","3G","1-3","Yes","Mobile","Low","1",1,"1"
"168","Boy","26-30","University","Government","No","No","Low","Mid","Mobile Data","4G","1-3","No","Mobile","High","3",1,"2"
"169","Girl","11-15","School","Non Government","No","Yes","Low","Mid","Mobile Data","4G","1-3","No","Mobile","Moderate","2",0,"2"
"170","Boy","16-20","College","Government","Yes","Yes","Low","Mid","Mobile Data","4G","1-3","Yes","Mobile","Low","1",1,"2"
"171","Boy","21-25","University","Non Government","Yes","Yes","Low","Mid","Wifi","3G","1-3","Yes","Computer","Moderate","2",1,"2"
"172","Girl","26-30","University","Government","No","Yes","Low","Mid","Wifi","4G","1-3","No","Mobile","Low","1",0,"2"
"173","Girl","16-20","College","Non Government","No","Yes","High","Mid","Wifi","4G","1-3","No","Mobile","Low","1",0,"2"
"174","Boy","21-25","University","Non Government","Yes","Yes","Low","Rich","Wifi","4G","1-3","Yes","Computer","High","3",1,"3"
"175","Boy","11-15","School","Government","No","Yes","Low","Mid","Mobile Data","4G","1-3","No","Mobile","Moderate","2",1,"2"
"176","Boy","21-25","University","Non Government","Yes","Yes","Low","Mid","Wifi","4G","3-6","No","Computer","Low","1",1,"2"
"177","Girl","11-15","School","Non Government","No","Yes","Low","Poor","Wifi","3G","1-3","No","Mobile","Moderate","2",0,"1"
"178","Boy","16-20","College","Government","Yes","Yes","Low","Mid","Mobile Data","4G","1-3","Yes","Mobile","Low","1",1,"2"
"179","Girl","16-20","University","Non Government","Yes","Yes","Low","Mid","Mobile Data","3G","1-3","No","Mobile","Low","1",0,"2"
"180","Girl","16-20","School","Non Government","No","Yes","Low","Poor","Mobile Data","3G","0","No","Mobile","Low","1",0,"1"
"181","Boy","11-15","School","Government","No","Yes","Low","Mid","Wifi","4G","1-3","No","Computer","Moderate","2",1,"2"
"182","Boy","1-5","School","Non Government","No","Yes","Low","Mid","Wifi","4G","1-3","No","Mobile","Low","1",1,"2"
"183","Girl","1-5","School","Non Government","No","Yes","Low","Mid","Wifi","4G","1-3","No","Mobile","Moderate","2",0,"2"
"184","Girl","21-25","University","Non Government","No","Yes","Low","Rich","Wifi","4G","3-6","No","Computer","Moderate","2",0,"3"
"185","Girl","16-20","College","Non Government","No","Yes","Low","Mid","Wifi","4G","1-3","No","Mobile","Low","1",0,"2"
"186","Boy","11-15","School","Non Government","No","Yes","Low","Poor","Mobile Data","3G","1-3","No","Mobile","Low","1",1,"1"
"187","Girl","11-15","School","Non Government","Yes","Yes","Low","Mid","Mobile Data","3G","1-3","No","Mobile","Moderate","2",0,"2"
"188","Girl","21-25","University","Government","No","Yes","Low","Mid","Mobile Data","4G","1-3","No","Mobile","Low","1",0,"2"
"189","Boy","11-15","School","Non Government","No","Yes","Low","Mid","Mobile Data","4G","1-3","No","Mobile","Moderate","2",1,"2"
"190","Boy","21-25","University","Non Government","No","Yes","Low","Mid","Wifi","4G","3-6","No","Tab","Moderate","2",1,"2"
"191","Boy","11-15","School","Non Government","No","Yes","High","Poor","Wifi","4G","1-3","No","Mobile","Low","1",1,"1"
"192","Boy","21-25","University","Non Government","Yes","Yes","High","Mid","Mobile Data","3G","3-6","Yes","Mobile","Moderate","2",1,"2"
"193","Boy","21-25","University","Non Government","Yes","Yes","High","Mid","Mobile Data","3G","3-6","Yes","Mobile","Moderate","2",1,"2"
"194","Boy","16-20","School","Government","No","No","Low","Poor","Mobile Data","3G","0","No","Mobile","Low","1",1,"1"
"195","Girl","16-20","College","Government","No","No","Low","Mid","Mobile Data","4G","0","No","Mobile","Low","1",0,"2"
"196","Boy","21-25","University","Non Government","Yes","Yes","Low","Mid","Wifi","3G","1-3","Yes","Mobile","Low","1",1,"2"
"197","Boy","16-20","College","Government","No","Yes","Low","Poor","Mobile Data","4G","1-3","No","Mobile","Low","1",1,"1"
"198","Boy","11-15","School","Non Government","Yes","Yes","Low","Poor","Mobile Data","4G","1-3","No","Mobile","Moderate","2",1,"1"
"199","Boy","11-15","School","Non Government","No","Yes","Low","Mid","Mobile Data","3G","1-3","No","Mobile","Moderate","2",1,"2"
"200","Girl","11-15","School","Government","No","Yes","Low","Mid","Wifi","3G","1-3","No","Mobile","Low","1",0,"2"
"201","Boy","6-10","School","Government","No","Yes","Low","Mid","Mobile Data","4G","0","No","Mobile","Low","1",1,"2"
"202","Boy","11-15","School","Non Government","No","Yes","Low","Poor","Mobile Data","3G","1-3","No","Mobile","Low","1",1,"1"
"203","Boy","11-15","School","Non Government","No","Yes","Low","Poor","Mobile Data","3G","1-3","No","Mobile","Low","1",1,"1"
"204","Boy","21-25","University","Non Government","Yes","Yes","Low","Mid","Wifi","4G","1-3","Yes","Mobile","Moderate","2",1,"2"
"205","Boy","11-15","School","Non Government","No","Yes","Low","Poor","Mobile Data","3G","1-3","No","Mobile","Low","1",1,"1"
"206","Boy","11-15","School","Government","No","Yes","Low","Mid","Wifi","4G","1-3","No","Mobile","High","3",1,"2"
"207","Boy","26-30","University","Non Government","Yes","Yes","Low","Mid","Wifi","4G","3-6","No","Computer","Moderate","2",1,"2"
"208","Boy","11-15","School","Non Government","No","Yes","Low","Poor","Mobile Data","3G","1-3","No","Mobile","Low","1",1,"1"
"209","Girl","26-30","University","Government","No","Yes","Low","Mid","Wifi","4G","1-3","No","Mobile","Low","1",0,"2"
"210","Girl","21-25","University","Non Government","Yes","Yes","High","Mid","Wifi","3G","3-6","Yes","Mobile","Low","1",0,"2"
"211","Girl","11-15","School","Government","No","No","High","Poor","Mobile Data","2G","1-3","No","Mobile","Low","1",0,"1"
"212","Girl","16-20","School","Government","No","No","Low","Rich","Mobile Data","4G","1-3","No","Mobile","High","3",0,"3"
"213","Girl","16-20","College","Government","No","No","High","Mid","Mobile Data","3G","1-3","No","Mobile","Low","1",0,"2"
"214","Girl","16-20","College","Non Government","No","Yes","High","Mid","Wifi","4G","3-6","No","Computer","Moderate","2",0,"2"
"215","Girl","21-25","College","Government","Yes","Yes","Low","Mid","Mobile Data","4G","1-3","No","Mobile","Moderate","2",0,"2"
"216","Boy","16-20","School","Government","No","Yes","Low","Rich","Mobile Data","4G","1-3","No","Mobile","Moderate","2",1,"3"
"217","Boy","11-15","School","Non Government","No","Yes","Low","Mid","Mobile Data","4G","1-3","No","Mobile","Moderate","2",1,"2"
"218","Girl","16-20","School","Non Government","No","Yes","Low","Poor","Mobile Data","3G","0","No","Mobile","Low","1",0,"1"
"219","Boy","21-25","University","Non Government","Yes","Yes","High","Poor","Wifi","3G","3-6","No","Mobile","Low","1",1,"1"
"220","Boy","11-15","School","Government","No","No","Low","Mid","Mobile Data","3G","0","No","Mobile","Low","1",1,"2"
"221","Boy","21-25","University","Non Government","Yes","Yes","Low","Mid","Wifi","3G","3-6","Yes","Computer","Moderate","2",1,"2"
